#Chr	start	end	gene_name	is_protein_coding	is_reverse_strand	hi_index	p_li
1	154548577	154559028	UBE2Q1	True	True	28.3074031534	0.99919
1	20633679	20633788	MIR6084	False	False	0.0	0.0
1	99850361	99924023	AGL	True	False	10.3111621593	2.7564e-27
1	161606291	161608217	HSPA7	False	False	0.0	0.0
1	51236273	51273447	RNF11	True	False	8.43165918346	0.57873
1	11425257	11425821	MTCYBP45	False	True	0.0	0.0
1	15465909	15491395	CELA2B	True	False	86.2952908009	2.5651e-06
1	30732469	30757774	LAPTM5	True	True	47.5984128642	0.90044
1	181174484	181182208	LINC01732	False	False	0.0	0.0
1	230702523	230714122	AGT	True	True	59.533256761	4.9706e-08
1	30918469	30918735	RN7SL371P	False	True	0.0	0.0
1	161524540	161526894	HSPA6	True	False	68.8524590164	6.8282e-06
1	111680630	111755824	INKA2	True	True	0.0	0.0079857
1	247738615	247739559	OR14K1	True	False	99.4204865824	0.0
1	231626790	232041272	DISC1	True	False	81.5913125196	5.851e-10
1	26911489	26913975	NR0B2	True	True	18.0902161428	8.3377e-06
1	9651731	9729114	PIK3CD	True	False	1.5244857471	0.99999
1	45016399	45306209	ZSWIM5	True	True	34.2435000522	0.03976
1	34669599	34669694	MIR552	False	True	0.0	0.0
1	100281241	100281308	MIR553	False	False	0.0	0.0
1	151545796	151545891	MIR554	False	False	0.0	0.0
1	155346350	155346445	MIR555	False	True	0.0	0.0
1	153331622	153331728	RNU6-160P	False	False	0.0	0.0
1	54026681	54053504	TMEM59	True	True	32.3953221259	2.4058e-12
1	236348257	236502915	EDARADD	True	False	54.0252688733	0.0003182
1	32894594	32901438	TMEM54	True	True	59.4862691866	0.0030921
1	172885947	172886258	AIMP1P2	False	True	0.0	0.0
1	1917590	1919279	TMEM52	True	True	88.4358358567	0.014909
1	44635238	44674481	TMEM53	True	True	27.6182520622	0.021392
1	15152532	15220478	TMEM51	True	False	60.0605617626	0.30495
1	182839347	182887982	DHX9	True	False	10.3999164665	1
1	164351273	164351388	RNU5F-6P	False	False	0.0	0.0
1	204218853	204377665	PLEKHA6	True	True	31.351153806	0.013746
1	152686123	152687397	LCE2B	True	False	86.9687793672	0.097851
1	15456728	15472091	CELA2A	True	False	82.6511433643	1.9736e-16
1	155185824	155192916	MUC1	True	True	73.4520204657	0.27288
1	238325687	238325788	RNU6-725P	False	True	0.0	0.0
1	197268204	197478455	CRB1	True	False	64.1745849431	5.6266e-16
1	114727720	114727824	RNY1P13	False	False	0.0	0.0
1	145964690	145978848	POLR3GL	True	False	15.9862169782	2.3404e-05
1	151770107	151791416	TDRKH	True	True	42.3358045317	0.028927
1	26234200	26278808	CEP85	True	False	34.3270335178	0.00057592
1	168263375	168263481	RNU6-1310P	False	True	0.0	0.0
1	19312326	19329300	SLC66A1	True	False	0.0	6.3479e-05
1	247034637	247078811	ZNF670	True	True	93.583585674	0.00034522
1	36136570	36156053	TRAPPC3	True	True	7.8782499739	0.25083
1	155195177	155195272	MIR92B	False	False	0.0	0.0
1	43145153	43156396	FAM183A	True	False	77.7853189934	0.041627
1	44221070	44355260	ERI3	True	True	4.20277748773	0.003965
1	52032103	52033810	KTI12	True	True	76.9134384463	0.00040289
1	149887469	149887965	H2AC21	True	True	0.0	0.61467
1	160081538	160090563	KCNJ9	True	False	34.3792419338	0.30133
1	110165948	110172489	SLC6A17-AS1	False	True	0.0	0.0
1	212726153	212791782	NSL1	True	True	63.9657512791	0.0039309
1	155897808	155911404	RIT1	True	True	48.6060352929	0.31345
1	165631213	165661796	MGST3	True	False	63.7621384567	0.00020347
1	153929501	153946718	DENND4B	True	True	41.4952490341	0.99098
1	156147366	156177752	SEMA4A	True	False	53.0489714942	1.8394e-05
1	162373203	162376854	SPATA46	True	True	0.0	1.7676e-10
1	161222292	161223631	APOA2	True	True	54.8501618461	0.0448
1	114716913	114758676	CSDE1	True	True	7.60676621071	0.99999
1	44721786	44721902	RNU5F-1	False	True	0.0	0.0
1	151111912	151112728	RPS29P29	False	True	0.0	0.0
1	173039960	173050963	TNFSF18	True	True	87.480421844	0.00019152
1	168178962	168202109	TIPRL	True	False	25.117468936	0.95372
1	155135344	155138857	SLC50A1	True	False	51.8586196095	0.0019259
1	228632631	228632749	RNA5S11	False	True	0.0	0.0
1	25125053	25125454	IFITM3P7	False	True	0.0	0.0
1	228637096	228637214	RNA5S13	False	True	0.0	0.0
1	228634871	228634989	RNA5S12	False	True	0.0	0.0
1	228641568	228641686	RNA5S15	False	True	0.0	0.0
1	228639337	228639455	RNA5S14	False	True	0.0	0.0
1	228646040	228646158	RNA5S17	False	True	0.0	0.0
1	42785007	42816619	TMEM269	True	False	0.0	0.00035678
1	103569553	103570674	ACTG1P4	False	False	0.0	0.0
1	153717303	153718347	GEMIN2P1	False	True	0.0	0.0
1	26410817	26429728	LIN28A	True	False	13.8352302391	0.019369
1	149937812	150010726	OTUD7B	True	True	29.5760676621	0.5684
1	27200834	27201473	CHCHD3P3	False	True	0.0	0.0
1	185734391	186190949	HMCN1	True	False	29.4559883053	3.6259e-38
1	92647048	92647630	HMGB3P9	False	True	0.0	0.0
1	45326895	45328679	HPDL	True	False	71.9066513522	2.2634e-05
1	66999350	67054148	SLC35D1	True	True	22.9090529393	0.00035546
