Autosomal	chr1	24.00996407	0.200083034
Autosomal	chr2	26.03118327	0.216926527
Autosomal	chr3	20.83544841	0.173628737
Autosomal	chr4	20.12867714	0.167738976
Autosomal	chr5	19.1880892	0.159900743
Autosomal	chr6	18.19397847	0.151616487
Autosomal	chr7	15.81574493	0.131797874
Autosomal	chr8	15.73575312	0.131131276
Autosomal	chr9	12.01833196	0.100152766
Autosomal	chr10	14.2048176	0.11837348
Autosomal	chr11	14.13277097	0.117773091
Autosomal	chr12	13.88849466	0.115737456
Autosomal	chr13	10.54431338	0.061508495
Autosomal	chr14	9.54737732	0.079561478
Autosomal	chr15	8.469374613	0.070578122
Autosomal	chr16	7.922548492	0.066021237
Autosomal	chr17	7.667747248	0.063897894
Autosomal	chr18	8.473878079	0.049430955
Autosomal	chr19	3.781336695	0.094533417
Autosomal	chr20	6.810428945	0.056753575
Autosomal	chr21	3.650865413	0.021296715
Autosomal	chr22	3.425405136	0.028545043
Female	chrX	14.80772435	0.172756784
