#Chr	start	end	gene_name	is_protein_coding	is_reverse_strand	hi_index	p_li
1	154521053	154531504	UBE2Q1	True	True	28.3074031534	0.99919
1	100315640	100389579	AGL	True	False	10.3111621593	2.7564e-27
1	161576081	161578007	HSPA7	False	False	0.0	0.0
1	51701943	51739127	RNF11	True	False	8.43165918346	0.57873
1	15783223	15798586	CELA2A	True	False	82.6511433643	1.9736e-16
1	15792404	15817895	CELA2B	True	False	86.2952908009	2.5651e-06
1	31205316	31230667	LAPTM5	True	True	47.5984128642	0.90044
1	28562620	28573417	ATPIF1	True	False	0.0	0.00010367
1	155107820	155111329	SLC50A1	True	False	51.8586196095	0.0019259
1	161494036	161496681	HSPA6	True	False	68.8524590164	6.8282e-06
1	155882834	155904191	KIAA0907	True	True	0.0	0.96921
1	247901917	247902861	OR14K1	True	False	99.4204865824	0.0
1	231762561	232177018	DISC1	True	False	81.5913125196	1.6756e-06
1	27237980	27240457	NR0B2	True	True	18.0902161428	8.3377e-06
1	9711790	9789172	PIK3CD	True	False	1.5244857471	0.99999
1	45482071	45771881	ZSWIM5	True	True	34.2435000522	0.03976
1	35135200	35135295	MIR552	False	True	0.0	0.0
1	100746797	100746864	MIR553	False	False	0.0	0.0
1	151518272	151518367	MIR554	False	False	0.0	0.0
1	155316141	155316236	MIR555	False	True	0.0	0.0
1	153304098	153304204	RNU6-160P	False	False	0.0	0.0
1	54497347	54519177	TMEM59	True	True	32.3953221259	2.4058e-12
1	95582894	95663163	TMEM56	True	False	0.0	0.26127
1	25757388	25826700	TMEM57	True	False	0.0	0.99757
1	33360195	33367039	TMEM54	True	True	59.4862691866	0.0030921
1	172855087	172855398	AIMP1P2	False	True	0.0	0.0
1	1849029	1850712	TMEM52	True	True	88.4358358567	0.014909
1	45100910	45140227	TMEM53	True	True	27.6182520622	0.021392
1	15479028	15546976	TMEM51	True	False	60.0605617626	0.30495
1	182808504	182856886	DHX9	True	False	10.3999164665	1
1	164320510	164320625	RNU5F-6P	False	False	0.0	0.0
1	152647771	152659877	LCE2B	True	False	86.9687793672	0.097851
1	230865626	230865915	RN7SL467P	False	False	0.0	0.0
1	158368312	158369256	OR10T2	True	True	72.7263234833	0.12008
1	155158300	155162707	MUC1	True	True	73.4520204657	0.018774
1	238488987	238489088	RNU6-725P	False	True	0.0	0.0
1	197170592	197447585	CRB1	True	False	64.1745849431	5.6266e-16
1	145456236	145470388	POLR3GL	True	True	15.9862169782	2.3404e-05
1	151742583	151763892	TDRKH	True	True	42.3358045317	0.032356
1	26560691	26605299	CEP85	True	False	34.3270335178	0.00027043
1	168232613	168232719	RNU6-1310P	False	True	0.0	0.0
1	48913608	48913714	RNU4-61P	False	False	0.0	0.0
1	142697653	142729971	ANKRD20A12P	False	True	0.0	0.0
1	36602173	36615098	TRAPPC3	True	True	7.8782499739	0.25083
1	155164968	155165063	MIR92B	False	False	0.0	0.0
1	43610824	43622067	FAM183A	True	False	77.7853189934	0.041627
1	44686742	44820932	ERI3	True	True	4.20277748773	0.003965
1	52497775	52499488	KTI12	True	True	76.9134384463	0.00040289
1	227751244	227865144	ZNF678	True	False	96.1574605826	0.015898
1	160051360	160060353	KCNJ9	True	False	34.3792419338	0.30133
1	212899495	212965124	NSL1	True	True	63.9657512791	0.0039309
1	155867599	155881195	RIT1	True	True	48.6060352929	0.13281
1	165600098	165631033	MGST3	True	False	63.7621384567	0.00020347
